Nom_2016,chemin_accès,date_prise,
M57-SO,\OrthoImages\ad1\M48-NO\2007_TRA_ad1_M48-NO_Const-Matter_OP.tif,2007,
M48-SO,\OrthoImages\ad1\M48-SO\2007_TRA_ad1_M48-SO_Const-Matter_OP.tif,2007,
M49-SO,\OrthoImages\ad1\M49-SO\2007_TRA_ad1_M49-SO_Const-Matter_OP.tif,2007,
M51-NO-1,\OrthoImages\ad1\M51-NO-1\2007_TRA_ad1_M51-NO-1_Const-Matter_OP.tif,2007,
M51-NO-2,\OrthoImages\ad1\M51-NO-2\2007_TRA_ad1_M51-NO-2_Const-Matter_OP.tif,2007,
M54-NO,\OrthoImages\ad1\M54-NO\2007_TRA_ad1_M54-NO_Const-Matter_OP.tif,2007,
M54-NO,\OrthoImages\ad1\M54-NO\2007_TRA_ad1_M54-NO_Const-Matter_OP_02.tif,2007,
M55-NE,\OrthoImages\ad1\M55-NE\2007_TRA_ad1_M55-NE_Const-Matter_OP.tif,2007,
M56-NE,\OrthoImages\ad1\M56-NE\2007_TRA_ad1_M56-NE_Const-Matter_OP.tif,2007,
M56-SO,\OrthoImages\ad1\M56-SO\2007_TRA_ad1_M56-SO_Const-Matter_OP.tif,2007,
M11-NO,\OrthoImages\ba1\M11-NO\2007_TRA_ba1_M11-NO_Const-Matter_OP.tif,2007,
M11-SO,\OrthoImages\ba1\M11-SO\2007_TRA_ba1_M11-SO_Const-Matter_OP.tif,2007,
M22-SO,\OrthoImages\ba1\M22-SO\2007_TRA_ba1_M22-SO_Const-Matter_OP.tif,2007,
M50-NO,\OrthoImages\ba1\M50-NO\2007_TRA_ba1_M50-NO_Const-Matter_OP.tif,2007,
M53-NO-2,\OrthoImages\ba1\M53-NO-2\2007_TRA_ba1_M53-NO-2_Const-Matter_OP.tif,2007,
M53-NO-3,\OrthoImages\ba1\M53-NO-3-4\2007_TRA_ba1_M53-NO-3-4_Const-Matter_OP.tif,2007,
M53-NO-4,\OrthoImages\ba1\M53-NO-3-4\2007_TRA_ba1_M53-NO-3-4_Const-Matter_OP.tif,2007,
M57-NE,\OrthoImages\ba1\M53-NO-3-4\2007_TRA_ba1_M53-NO-3-4_Const-Matter_OP_02.tif,2007,
M57-NE,\OrthoImages\ba1\M57-NE\2007_TRA_ba1_M57-NE_Const-Matter_OP.tif,2007,
M57-NO,\OrthoImages\ba1\M57-NO\2007_TRA_ba1_M57-NO_Const-Matter_OP.tif,2007,
M57-SO,\OrthoImages\ba1\M57-SO\2007_TRA_ba1_M57-SO_Const-Matter_OP.tif,2007,
M51-NO-1,\OrthoImages\ad1\M51-NO-1\2015_TRA_ad1_M51-NO-1_Const-RestAvant_OP.tif,2015,
M51-NO-2,\OrthoImages\ad1\M51-NO-2\2015_TRA_ad1_M51-NO-2_Const-RestAvant_OP.tif,2015,
M52-NO,\OrthoImages\ad1\M52-NO\2015_TRA_ad1_M52-NO_Const-RestAvant_OP.tif,2015,
M54-NO,\OrthoImages\ad1\M54-NO\2015_TRA_ad1_M54-NO_Const-RestAvant_OP.tif,2015,
M55-NE,\OrthoImages\ad1\M55-NE\2015_TRA_ad1_M55-NE_Const-RestAvant_OP.tif,2015,
M56-SO,\OrthoImages\ad1\M56-SO\2015_TRA_ad1_M56-SO_Const-RestAvant_OP.tif,2015,
M11-NO,\OrthoImages\ba1\M11-NO\2015_TRA_ba1_M11-NO_Const-RestAvant_OP.tif,2015,
M11-SO,\OrthoImages\ba1\M11-SO\2015_TRA_ba1_M11-SO_Const-RestAvant_OP.tif,2015,
M22-NE,\OrthoImages\ba1\M22-NE\2015_TRA_ba1_M22-NE_Const-RestAvant_OP.tif,2015,
M22-NO,\OrthoImages\ba1\M22-NO\2015_TRA_ba1_M22-NO_Const-RestAvant_OP.tif,2015,
M22-SO,\OrthoImages\ba1\M22-SO\2015_TRA_ba1_M22-SO_Const-RestAvant_OP.tif,2015,
M22-VH,\OrthoImages\ba1\M22-VH\2015_TRA_ba1_M22-VH_Const-RestPendant_OP.tif,2015,
M53-NO-1,\OrthoImages\ba1\M53-NO-1\2015_TRA_ba1_M53-NO-1_Const-RestAvant_OP.tif,2015,
M53-NO-2,\OrthoImages\ba1\M53-NO-2\2015_TRA_ba1_M53-NO-2_Const-RestAvant_OP.tif,2015,
M53-NO-3,\OrthoImages\ba1\M53-NO-3-4\2015_TRA_ba1_M53-NO-3-4_Const-RestAvant_OP.tif,2015,
M53-NO-4,\OrthoImages\ba1\M53-NO-3-4\2015_TRA_ba1_M53-NO-3-4_Const-RestAvant_OP.tif,2015,
M57-NE,\OrthoImages\ba1\M57-NE\2015_TRA_ba1_M57-NE_Const-RestAvant_OP.tif,2015,
M57-NO,\OrthoImages\ba1\M57-NO\2015_TRA_ba1_M57-NO_Const-RestAvant_OP.tif,2015,
M57-SO,\OrthoImages\ba1\M57-SO\2015_TRA_ba1_M57-SO_Const-RestAvant_OP.tif,2015,
