entity_types

relates to:
entities   missing parts

code	value_en	value_fr
joint	joint	joint
stone_work	stone work	maçonnerie
screed	screed	chape
restored_zone	restored zone	zone restauré


causes_types

relates to:
missing_parts
structural_alterations material_alterations visual_alterations

code	value_en	value_fr
vandalism	vandalism	vandalisme
vegetation	vegetation	végétation
salts	salts	sels
water	water	eau
frost	frost	gel
intervention	intervention	intervention


structural_alterations_types

relates to:
structural_alterations

code	value_en	value_fr
fissuring	fissuring	fissuration
fissuring.fissure	fissuring.fissure	fissuration.fissure
fissuring.fragmenting	fissuring.fragmenting	fissuration.fragmentation
fissuring.fracture	fissuring.fracture	fissuration.fracture
bulging	bulging	soulèvement
bulging.bell	bulging.bell	soulèvement.cloche
bulging.rise	bulging.rise	soulèvement.bombement
depression	depression	affaissement


material_alterations_types

relates to:
material_alterations

code	value_en	value_fr
detachement	detachement	détachement
detachement.bursting	detachement.bursting	détachement.éclatement
detachement.blistering	detachement.blistering	détachement.boursouflure
detachement.chipping	detachement.chipping	détachement.épaufrures
detachement.delamination	detachement.delamination	détachement.délitage
detachement.peeling	detachement.peeling	détachement.pelage
detachement.scaling	detachement.scaling	détachement.desquamation
detachement.flaking	detachement.flaking	détachement.écaillage
detachement.disadhesion	detachement.disadhesion	détachement.décollement
detachement.fragmentation	detachement.fragmentation	détachement.fragmentation
desintegration	desintegration	désintégration
desintegration.desintegration.alveolation	desintegration.alveolation	désintégration.alvéolation
desintegration.desintegration.coving	desintegration.coving	désintégration.creusement
desintegration.desintegration.pitting	desintegration.pitting	désintégration.pitting
corrosion	corrosion	corrosion


visual_alterations_types

relates to:
visual_alterations

code	value_en	value_fr
deposit	deposit	dépôt
deposit.excrement	deposit.excrement	dépôt.excrément
deposit.soiling	deposit.soiling	dépôt.encrassement
deposit.encrustation	deposit.encrustation	dépôt.encroûtement
deposit.efflorescence	deposit.efflorescence	dépôt.efflorescence
deposit.black_crust	deposit.black crust	dépôt.croûte noire
stain	stain	tâche
stain.red	stain.red	tâche.rouge
stain.green	stain.green	tâche.vert
stain.yellow	stain.yellow	tâche.jaune
stain.brown	stain.brown	tâche.brun
stain.black	stain.black	tâche.noir
discoloration	discoloration	décoloration


material_types

relates to:
materials restorative_intervention

calcareous_stone	calcareous stone	pierre calcaire
calcareous_stone.hauterive_limestone	calcareous stone.Hauterive limestone	pierre calcaire.calcaire Hauterivien
calcareous_stone.metz_limestone	calcareous stone.Metz limestone	pierre calcaire.pierre de Metz
calcareous_stone.tuff	calcareous stone.tuff	pierre calcaire.tuf
molassic_stone	molassic stone	pierre molassique
molassic_stone.moliere_sandstone	molassic stone.Molière sandstone	pierre molassique.grès de la Molière
cementitious_mortar	cementitious mortar	mortier à base de ciment
cementitious_mortar.cementitious_mortar.high_cement_content_mortar	cementitious mortar.high cement content mortar	mortier à base de ciment.mortier haut contenue de ciment
cementitious_mortar.cementitious_mortar.low_cement_content_mortar	cementitious mortar.low cement content mortar	mortier à base de ciment.mortier bas contenue de ciment
cementitious_mortar.cementitious_mortar.roman_cement	cementitious mortar.roman cement	mortier à base de ciment.ciment romain
lime_based_mortar	lime based mortar	mortier à base de chaux
lime_based_mortar.lime_based_mortar.lime_mortar	lime based mortar.lime mortar	mortier à base de chaux.mortier chaux
lime_based_mortar.lime_based_mortar.lime_mortar_with_with_hydraulic_addition	lime based mortar.lime mortar with with hydraulic addition	mortier à base de chaux.mortier chaux et adjoint hydraulique
hydraulic_lime_based_mortar	hydraulic lime based mortar	mortier à base de chaux hydraulique
hydraulic_lime_based_mortar.nhl2_mortar	hydraulic lime based mortar.NHL2 mortar	mortier à base de chaux hydraulique.mortier NHL2
hydraulic_lime_based_mortar.nhl5_mortar	hydraulic lime based mortar.NHL5 mortar	mortier à base de chaux hydraulique.mortier NHL5
synthetic_consolidant	synthetic consolidant	consolidant synthétique


restorative_intervention_types

relates to:
restorative_intervention

code	value_en	value_fr
edge_reinforcement	edge reinforcement	protection des bords
edge_reinforcement.edge_reinforcement.framing	edge reinforcement.framing	protection des bords.encadrement
edge_reinforcement.edge_reinforcement.edging_repair	edge reinforcement.edging repair	protection des bords.solin
deposition/relaying	deposition/relaying	dépose/repose
deposition_relaying.deposition	deposition/relaying.deposition	dépose/repose.dépose
deposition_relaying.relaying	deposition/relaying.relaying	dépose/repose.repose
consolidation	consolidation	consolidation
consolidation.consolidation	consolidation.consolidation	consolidation.consolidation
consolidation.application_of_protective	consolidation.application of protective	consolidation.application de protective
consolidation.grouting	consolidation.grouting	consolidation.injection
surface_protection	surface protection	protection surface
surface_protection.application_of_protective	surface protection.application of protective	protection surface.application de protective
surface_protection.lining	surface protection.lining	protection surface.entoilage
joint_work	joint work	jointoyage
joint_work.joint_work	joint work.joint work	jointoyage.jointoyage
joint_work.dilatation_joint	joint work.dilatation joint	jointoyage.joint de dilatation
cleaning	cleaning	nettoyage
cleaning.stain_reduction	cleaning.stain reduction	nettoyage.réduction des tâches
cleaning.treatment_of_flora	cleaning.treatment of flora	nettoyage.traitement de la flore
treatment_of_missing_part	treatment of missing part	traitement de partie manquante
treatment_of_missing_part.reintegration_with_original_material	treatment of missing part.reintegration with original material	traitement de partie manquante.reintégration avec matériel original
treatment_of_missing_part.mortar_fill	treatment of missing part.mortar fill	traitement de partie manquante.bouchage
treatment_of_missing_part.chromatic_integration	treatment of missing part.chromatic integration	traitement de partie manquante.intégration chromatique
surface_finish	surface finish	finition surface
surface_finish.sanding	surface finish.sanding	finition surface.ponçage
salt_reduction	salt reduction	reduction des sels
salt_reduction.efflorescence_reduction	salt reduction.efflorescence reduction	reduction des sels.réduction des efflorescences
salt_reduction.compresse	salt reduction.compresse	reduction des sels.compresse
readhesion	readhesion	readhésion


preventive_intervention_types

relates to:
preventive_intervention

code	value_en	value_fr
drainage	drainage	drainage
reburial	reburial	réenfouissement


vegetatation_types

relates to:
vegetation

code	value_en	value_fr
tree	tree	arbre
shrub	shrub	arbuste
grass	grass	herbe
moss	moss	mousse
lichen	lichen	lichene
mold	mold	moisissure
alga	alga	alghe


test_goals

relates to:
analysis

code	value_en	value_fr
drilling_resistance	drilling resistance	résistance à la perforation
determination_of_flora	determination of flora	détermination da la flore
temperature_measurement	temperature mesaurement	mésuration de temperature
qualitative_salt_ion_analysis	qualitative salt ion analysis	détermination qualitative des ions de sel
quantitative_salt_ion_analysis	quantitative salt ion analysis	détermination quantitative des ions de sel
salt_crystal_analysis	salt crystal analysis	détermination de cristal de sel
stone_determination	stone determination	détermination de pierre
