code	value_en	value_fr
detachement	detachement	détachement
detachement.bursting	bursting	éclatement
detachement.blistering	blistering	boursouflure
detachement.chipping	chipping	épaufrures
detachement.delamination	delamination	délitage
detachement.peeling	peeling	pelage
detachement.scaling	scaling	desquamation
detachement.flaking	flaking	écaillage
detachement.disadhesion	disadhesion	décollement
detachement.fragmentation	fragmentation	fragmentation
desintegration	desintegration	désintégration
desintegration.alveolation	alveolation	alvéolation
desintegration.coving	coving	creusement
desintegration.pitting	pitting	pitting
corrosion	corrosion	corrosion
