code	value_en	value_fr
edge_reinforcement	edge reinforcement	protection des bords
edge_reinforcement.framing	framing	encadrement
edge_reinforcement.edging_repair	edging repair	solin
deposition/relaying	deposition/relaying	dépose/repose
deposition/relaying.deposition	deposition	dépose
deposition/relaying.relaying	relaying	repose
consolidation	consolidation	consolidation
consolidation.consolidation	consolidation	consolidation
consolidation.application_of_protective	application of protective	application de protective
consolidation.grouting	grouting	injection
surface_protection	surface protection	protection surface
surface_protection.application_of_protective	application of protective	application de protective
surface_protection.lining	lining	entoilage
joint_work	joint work	jointoyage
joint_work.joint_work	joint work	jointoyage
joint_work.dilatation_joint	dilatation joint	joint de dilatation
cleaning	cleaning	nettoyage
cleaning.stain_reduction	stain reduction	réduction des tâches
cleaning.treatment_of_florf	treatment of florf	traitement de la flore
treatment_of_missing_part	treatment of missing part	traitement de partie manquante
treatment_of_missing_part.reintegration_with_original_material	reintegration with original material	reintégration avec matériel original
treatment_of_missing_part.mortar_fill	mortar fill	bouchage
treatment_of_missing_part.chromatic_integration	chromatic integration	intégration chromatique
surface_finish	surface finish	finition surface
surface_finish.sanding	sanding	ponçage
salt_reduction	salt reduction	reduction des sels
salt_reduction.efflorescence_reduction	efflorescence reduction	réduction des efflorescences
salt_reduction.compresse	compresse	compresse
readhesion	readhesion	readhésion
